episode,matched_episode,Security.Threat1,Economic1,Humanitarian.Moral1,Other1,Security.Threat2,Economic2,Humanitarian.Moral2,Other2
6828,33633,0,0,0,1,0,0,0,1
32127,128579,0,0,1,0,0,0,1,0
85781,65837,1,0,0,0,1,0,0,0
58402,14943,0,0,1,0,0,0,1,0
10663,91569,1,0,0,0,1,0,0,0
4530,95484,0,0,0,1,0,0,0,1
72646,90463,0,0,1,0,1,0,0,0
64039,32823,0,0,1,0,0,0,1,0
75501,91352,0,0,1,0,0,0,1,0
68754,137840,0,1,0,0,1,0,0,0
7507,133228,0,1,0,0,0,0,1,0
98100,84359,1,0,0,0,0,1,0,0
75426,11642,0,0,0,1,0,0,0,1
75691,70359,0,0,0,1,0,0,1,0
83884,6482,0,0,0,1,0,0,0,1
120652,109827,0,0,0,1,0,0,0,1
119466,55706,1,0,0,0,1,0,0,0
34146,9003,1,0,0,0,1,0,0,0
64590,82120,0,0,0,1,1,0,0,0
87050,6518,0,0,1,0,0,0,0,1
32684,33336,1,0,0,0,1,0,0,0
89034,133418,0,0,1,0,0,0,1,0
64213,51074,0,0,1,0,1,0,0,0
61342,7713,0,1,0,0,0,0,0,1
88243,69348,0,0,0,1,0,0,1,0
92814,83918,0,0,1,0,1,0,0,0
78215,100958,0,0,0,1,0,0,0,1
51404,35211,0,0,1,0,1,0,0,0
112536,6897,0,1,0,0,1,0,0,0
134168,120567,0,0,0,1,0,0,0,1
33868,88563,0,0,1,0,0,0,1,0
31037,84254,1,0,0,0,0,0,0,1
135788,34598,0,0,0,1,1,0,0,0
31292,57096,0,0,0,1,0,0,0,1
112656,119780,0,0,0,1,1,0,0,0
111393,111191,0,0,1,0,0,0,0,1
120534,113103,0,0,1,0,0,0,1,0
135804,98377,0,0,1,0,0,0,1,0
95494,7631,0,0,1,0,0,0,1,0
51759,6217,1,0,0,0,0,0,1,0
138953,65810,0,1,0,0,0,1,0,0
20648,91047,1,0,0,0,1,0,0,0
95028,87083,0,0,0,1,0,0,0,1
113349,54019,0,0,0,1,1,0,0,0
91569,316,1,0,0,0,0,0,0,1
81819,77730,1,0,0,0,1,0,0,0
81589,117186,0,0,1,0,0,0,1,0
140211,113349,0,0,0,1,0,1,0,0
115419,63271,0,0,1,0,0,0,1,0
82836,2248,0,0,0,1,0,0,0,1